Tier,Operator,Company,Category,Scope(s),Basis,Offshore assets linked (this operator),Onshore facilities (this operator),Confidence,Note
Tier 1,Chevron,Saipem,Marine key client,Pipelay / heavy-lift construction,"contract/EA, via asset",Jansz-Io Compression (Field Control Station) (H),,H,
Tier 1,Chevron,Subsea7,Marine key client,SURF / reel-lay,"contract/EA, via asset",Gorgon / Jansz-Io subsea (M),,M,
Tier 1,Chevron,Allseas,Marine key client,Pipelay,"contract/EA, via asset",Gorgon / Jansz-Io subsea (L); Wheatstone Platform (L),,L,
Tier 1,Chevron,Altrad,Offshore contractor,Maintenance,"contract/EA, via asset + onshore tab",Wheatstone Platform (H); Barrow Island oil (WA Oil) (H); Thevenard Island (legacy) (M),Gorgon Chevron (Barrow); Wheatstone (Onslow),H,
Tier 1,Chevron,Baker Hughes,Offshore contractor,Drilling,"contract/EA, via asset + onshore tab",Gorgon / Jansz-Io subsea (H); Jansz-Io Compression (Field Control Station) (H),Gorgon Chevron (Barrow),H,
Tier 1,Chevron,Cyan,Offshore contractor,Marine,"contract/EA, via asset",Wheatstone Platform (H); Barrow Island oil (WA Oil) (H); Gorgon / Jansz-Io subsea (M),,H,
Tier 1,Chevron,Eris (Kuiper),Offshore contractor,Maintenance; Construction; Decomm,"contract/EA, via asset",Gorgon / Jansz-Io subsea (M); Jansz-Io Compression (Field Control Station) (H),,H,
Tier 1,Chevron,ESS,Offshore contractor,Catering,"contract/EA, via asset",Wheatstone Platform (H),,H,
Tier 1,Chevron,Legeneering,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset",Thevenard Island (legacy) (H),,H,
Tier 1,Chevron,MEA,Offshore contractor,Decomm,"contract/EA, via asset",Jansz-Io Compression (Field Control Station) (H),,H,
Tier 1,Chevron,Noble,Offshore contractor,Drilling,"contract/EA, via asset",Gorgon / Jansz-Io subsea (M); Wheatstone Platform (M),,H,
Tier 1,Chevron,DOF,Offshore contractor,Marine; ROV,"contract/EA, via asset",Gorgon / Jansz-Io subsea (M); Wheatstone Platform (M),,M,
Tier 1,Chevron,Go Offshore,Offshore contractor,Marine,contract/EA,,,M,
Tier 1,Chevron,OSA,Offshore contractor,Helicopters,"contract/EA, via asset",Wheatstone Platform (M); Barrow Island oil (WA Oil) (M); Gorgon / Jansz-Io subsea (M),,M,
Tier 1,Chevron,UGL,Offshore contractor,Maintenance,"contract/EA, via asset + onshore tab",Wheatstone Platform (M),Gorgon Chevron (Barrow); Co2 (Barrow); Wheatstone (Onslow),M,
Tier 1,Chevron,vertech,Offshore contractor,Helicopters,contract/EA,,,M,
Tier 1,Chevron,Fugro,Offshore contractor / marine key client,Surveyors; ROV,contract/EA,,,L,
Tier 1,Chevron,GGC,Offshore contractor,Decomm,"contract/EA, via asset",Gorgon / Jansz-Io subsea (L),,L,
Tier 1,Chevron,Kaefer (ISOLOGIC),Offshore contractor,Maintenance,via asset + onshore tab,Wheatstone Platform (L),Gorgon Chevron (Barrow),L,
Tier 1,Chevron,Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset",Jansz-Io Compression (Field Control Station) (L),,L,
Tier 1,Chevron,Oceaneering,Offshore contractor,ROV,contract/EA,,,L,
Tier 1,Chevron,Altrad Sparrows,Added employer,(not on your contractors tab — ADDED) Cranes / lifting (Maintenance),"contract/EA, via asset",Wheatstone Platform (H); Barrow Island oil (WA Oil) (M),,H,
Tier 1,Chevron,Bhagwan Marine,Added employer,(not on your contractors tab — ADDED) Marine,"contract/EA, via asset",Barrow Island oil (WA Oil) (M); Thevenard Island (legacy) (H),,H,
Tier 1,Chevron,IAS,Added employer,(not on your contractors tab — ADDED) Maintenance (fabric),"contract/EA, via asset",Wheatstone Platform (M),,M,
Tier 1,Chevron,Parabellum,Added employer,(not on your contractors tab — ADDED) Emergency services / medical,"contract/EA, via asset",Barrow Island oil (WA Oil) (M); Gorgon / Jansz-Io subsea (L); Wheatstone Platform (L),,M,
Tier 1,Chevron,Solstad Australia,Added employer,(not on your contractors tab — ADDED) Marine,contract/EA,,,L,
Tier 1,Chevron,Cleanaway,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow); Wheatstone (Onslow),onshore,
Tier 1,Chevron,CRMS,Onshore contractor,Onshore (see onshore tab),onshore tab,,JIC Construction (Barrow),onshore,
Tier 1,Chevron,Downer,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow); Wheatstone (Onslow),onshore,
Tier 1,Chevron,Ertech,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow); Co2 (Barrow); JIC Construction (Barrow); Wheatstone (Onslow),onshore,
Tier 1,Chevron,GRMS,Onshore contractor,Onshore (see onshore tab),onshore tab,,Co2 (Barrow),onshore,
Tier 1,Chevron,KBSS,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow); Wheatstone (Onslow),onshore,
Tier 1,Chevron,NESS Fircroft,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow),onshore,
Tier 1,Chevron,Powertech,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow); Co2 (Barrow); Wheatstone (Onslow),onshore,
Tier 1,Chevron,UGL (WA Oil),Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow),onshore,
Tier 1,Chevron,Ventia,Onshore contractor,Onshore (see onshore tab),onshore tab,,Gorgon Chevron (Barrow); Wheatstone (Onslow),onshore,
Tier 1,Shell,Eris (Kuiper),Offshore contractor,Maintenance; Construction; Decomm,"contract/EA, via asset",Prelude FLNG (H); Crux (H),,H,
Tier 1,Shell,McDermott,Offshore contractor / marine key client,Construction,"contract/EA, via asset",Crux (H),,H,
Tier 1,Shell,MEA,Offshore contractor,Decomm,"contract/EA, via asset",Crux (H); Prelude FLNG (M),,H,
Tier 1,Shell,Monadelphous,Offshore contractor,Maintenance; Hookup/Commissioning,"contract/EA, via asset",Prelude FLNG (H); Crux (H),,H,
Tier 1,Shell,PHI,Offshore contractor,Helicopters,"contract/EA, via asset",Prelude FLNG (H),,H,
Tier 1,Shell,SGS,Offshore contractor,Chemist,"contract/EA, via asset",Prelude FLNG (H),,H,
Tier 1,Shell,Sodexo,Offshore contractor,Catering,"contract/EA, via asset",Prelude FLNG (H),,H,
Tier 1,Shell,DOF,Offshore contractor,Marine; ROV,"contract/EA, via asset",Prelude FLNG (M),,M,
Tier 1,Shell,ESS,Offshore contractor,Catering,contract/EA,,,M,
Tier 1,Shell,Go Offshore,Offshore contractor,Marine,contract/EA,,,M,
