employer_id,employer_name,employer_category,parent_employer_id,created,active_workers,worksite_roles,agreements,aliases,lineage,oa_universe_entity,proposed_canonical,proposed_relationship,proposed_action,open_question,decision,decided_by,decided_on
714,Acciona Construction Australia,Subcontractor,,2026-04-01,8,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
752,Acrow,Subcontractor,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
792,Aegis Offshore Maintenance Pty Ltd,Major_Contractor,,2026-04-16,108,0,0,0,T? same-day batch as TestCo rows (9/16 Apr 2026) — verify,— (not in OA Universe; created 16 Apr 2026 with TestCo 2),?,suspected synthetic,verify,Q-E19,"Remove with the synthetic dataset (D4): all workers on TEST worksites, no membership numbers",operator,2026-09-22
706,AGIG,Subcontractor,,2026-04-01,16,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
753,Airswift,Specialist,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Airswift,Airswift,labour hire,kind=labour_hire,—,,,
790,Alliance Site Services,Major_Contractor,,2026-04-09,95,1,0,0,T? same-day batch as TestCo rows (9/16 Apr 2026) — verify,— (not in OA Universe; created 9 Apr 2026),?,suspected synthetic,verify,Q-E19,"Remove with the synthetic dataset (D4): all workers on TEST worksites, no membership numbers",operator,2026-09-22
29,ALTRAD,Subcontractor,,2026-03-10,104,3,6,5,"A agreements spreadsheet (employer_wizard, Mar 2026)",Altrad Services (Aust),Altrad Australia,canonical,"keep; aliases R.E.C., Ridgebay, Specialist People already recorded",—,,,
814,APA Group,Subcontractor,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",APA Group,APA Group,duplicate/root of 17,see Q-E22,Q-E22,,,
78,APPLUS+ PTY LTD,,,2026-03-10,83,2,4,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",Applus+,Applus+ Pty Ltd,canonical,keep,—,,,
729,Archer Well Company (Aust) Pl,Subcontractor,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(as is),unreviewed,review: confirm in universe; set kind; add ABN,—,,,
816,ATC,Subcontractor,,2026-09-17,0,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",ATC,ATC Offshore,duplicate,merge 816 → 815,—,,,
