Contractor (client),Vessel / facility,NW project & Tier-1 client,Vessel / facility type,Service line,Presence,scope,worker#,member#,EBA status,eba expiry,other unions?,Australian base,Notes,Sources
Saipem,Castorone,Scarborough trunkline — Woodside,DP3 S-lay pipelay ship,Deepwater large-diameter trunkline pipelay,Recent (2022–24),,,,,,,Transient (mob. Dampier/Broome),"433 km trunkline to Pluto LNG; completed Oct 2024. Trunkline-damage incident Jan 2024, NOPSEMA cleared restart.",saipem.com Scarborough project; worldoil.com 2024-10-14
Saipem,Saipem Endeavour,Scarborough nearshore segment — Woodside,S-lay / heavy-lift pipelay barge,Nearshore / shallow-water pipelay,Recent (2023),,,,,,,Transient,Installed ~33 km shore-approach segment the Castorone couldn't reach.,saipem.com Scarborough project
Saipem,Saipem Constellation,Jansz-Io Compression — Chevron,DP3 ultra-deepwater pipelay + heavy-lift construction,"Subsea transport & installation (compression station, moorings, umbilical)",Current (2024–26),,,,,,,Transient,LIVE 2026 (NOPSEMA OHS notice Apr 2026). Installs subsea compression station + ~135 km power umbilical from Barrow Is. Accommodation flotel Belait CSS1 (Nortrans).,lngprime.com; energynewsbulletin.net; offshore-mag.com
Saipem,Castorone (Ichthys),Ichthys 889 km GEP — INPEX,DP3 S-lay pipelay ship,Deepwater gas export pipeline,Historical (2014–16),,,,,,,Transient,Saipem's flagship historical NW/Timor Sea job (~US$1.8bn E&C). Ichthys pipelay was Saipem (not Allseas).,saipem.com Ichthys; gcaptain.com
Allseas,Audacia,Barossa gas export pipeline — Santos,S-lay pipelay vessel,Offshore rigid pipelay,Recent (2023–24),,,,,,,Transient,262 km line toward Darwin. Paused Nov 2023–Jan 2024 (court dispute); main lay done Jun 2024.,marinelink.com; offshore-mag.com
Allseas,Sandpiper,Darwin Pipeline Duplication (Barossa) — Santos,Shallow-water pipelay barge,Nearshore pipelay / shore approach,Recent (2024–25),,,,,,,Transient,~32 km shallow section + tie-in to Darwin LNG. Completed ~Mar 2025.,offshore-energy.biz; offshore-mag.com
Allseas,"Fortitude (+ Alegria, Felicity, Fortress)",Barossa GEP support spread — Santos,DP3 heavy construction / support vessels,"Survey, pre/post-lay support, testing",Recent (2023–24),,,,,,,Transient,Support fleet for the Barossa pipelay campaign.,spglobal.com; marinelink.com
Allseas,Solitaire,Gorgon/Jansz (2014) & Wheatstone 44in trunkline (2015) — Chevron,S-lay pipelay ship (one of world's largest),Deepwater large-diameter pipelay,Historical,,,,,,,Transient,"Correct attribution: Gorgon/Wheatstone pipelay was Allseas. In major upgrade 2025, not on an Aus job.",allseas.com project pages
Allseas,Lorelay,Gorgon/Jansz development (2014) — Chevron,S-lay pipelay ship,Deepwater rigid pipelay,Historical,,,,,,,Transient,Worked alongside Solitaire on 660 km of Greater Gorgon lines.,allseas.com Gorgon-Jansz
Subsea7,Seven Oceans,Scarborough (Woodside) + Barossa in-field SURF (Santos); Julimar-Brunello Ph2 2021,Rigid reel-lay pipelay vessel (PLSV),Deepwater rigid reel-lay flowlines,Recent (2023–24),,,,,,,Perth (PM office),Rigid pipe fabricated at Bintan spoolbase (Indonesia) then loaded to vessel.,offshore-mag.com; offshore-technology.com
Subsea7,Seven Oceanic,Scarborough (Woodside) + Barossa (Santos),Flex-lay construction vessel,Flexible flowline/riser/umbilical lay,Recent (2024),,,,,,,Perth (PM office),Worked alongside Seven Oceans in the 2024 campaigns.,offshore-mag.com
Subsea7,Bintan spoolbase (Indonesia),Scarborough & Barossa rigid flowlines,Spoolbase / rigid-pipe fabrication facility,Girth-welding & spooling of rigid pipeline strings,Recent/Current,,,,,,,Indonesia (not Australia),Key shore facility feeding NW reel-lay. Subsea7 has NO Australian spoolbase.,offshore-mag.com
Subsea7,Subsea7 Australia (Perth office),"Australian SURF scopes (Scarborough, Barossa, Gorgon Stage 3)",Shore base / project office,Project management & engineering,Current,,,,,,,Perth,Local PM/engineering hub; no Aus spoolbase or home-ported fleet.,subsea7.com
Subsea7,Gorgon Stage 3 spread (vessel TBD),Gorgon Stage 3 — Chevron,SURF / subsea installation (vessel unnamed),EPIC subsea infrastructure install,Likely / upcoming,,,,,,,Perth (engineering now),Awarded 18 Dec 2025 (US$150–300m). Offshore install scheduled 2028 (beyond a year) but a committed award. (Trade reports naming 'DLV2000' are wrong — that's McDermott's.),subsea7.com company news
Subsea7,Seven Seas + Rockwater 2,Original Gorgon/Jansz umbilicals (~2013) — Chevron,Flex-lay + trenching vessels,Umbilical/structure install + trenching,Historical,,,,,,,Transient,"Distinct from the current Jansz-Io Compression (which is Saipem, not Subsea7).",offshore-energy.biz
McDermott,DLV 2000,"Stybarrow & Griffin decom (Woodside); Campbell removal (Santos, Varanus)","Derrick lay vessel (2,200 t crane + S-lay)","Heavy-lift removal, pipelay, decommissioning",Recent → paused (2023–25),,,,,,,Transient,"NOPSEMA suspended Woodside Stybarrow/Griffin decom Aug 2025 after DLV 2000 lift incidents. Also historical Ichthys subsea 2016–17, GWF-2 2016.",mcdermott.com; abc.net.au 2025-08-07
McDermott,Scarborough FPU hook-up / commissioning spread,Scarborough — Woodside,Offshore HUC spread,Hook-up & commissioning of the FPU,Current (2026),,,,,,,Perth (subsea team),FPU fabricated in China; towed by Boskalis. McDermott's physical NW presence = Perth team + HUC on the moored FPU.,offshore-mag.com; mcdermott.com
McDermott,Crux jacket + topsides (fabrication),Crux — Shell (Browse Basin),EPC fabrication (Batam yard) — NOT an in-region vessel,Structural fabrication,Fabrication only (overseas),,,,,,,n/a,"FLAG: overseas fabrication only; no confirmed McDermott vessel in Browse Basin (jacket T&I by a CNOOC HLV). A fabrication/EPC link, not vessel presence.",offshore-energy.biz; energynewsbulletin.net
McDermott,McDermott Australia (Perth office),WA decommissioning + Scarborough HUC,Shore base / project office,"Project management, subsea engineering",Current,,,,,,,Perth,Local hub coordinating DLV 2000 campaigns & Scarborough hook-up.,mcdermott.com
Fugro,Fugro Australia (Perth HQ),"Woodside (rig positioning since 1995), Chevron/Gorgon, Santos, Saipem",Shore base / regional HQ,"Survey, geotech, positioning, ROV/USV, IMR support",Current,,,,,,,Perth (+ Jandakot; Dampier/Fremantle),Anchor of Fugro's NW presence. Workforce incl. ROV pilots in OA (AWU/MUA) EA bargaining — FWC majority-support determination Jan 2022. Union-relevant.,fugro.com; offshorealliance.org.au
Fugro,"Fugro Remote Operations Centre (ROC), Perth",North West Shelf uncrewed ops (Woodside & others),Shore facility (remote control centre),24/7 remote piloting of USVs & eROVs,Current (since 2022),,,,,,,Perth,Nerve centre for NW uncrewed ops; crewing / labour-displacement angle relevant to a union map.,infraco.telstra.com.au; fugro.com
Fugro,Fugro Etive,NW Shelf site-investigation & subsea support — client/project not publicly disclosed,Multipurpose geotechnical / survey & subsea (ROV/IMR) support vessel (IMO 9379686),"Geotechnical site investigation, survey, ROV & IMR support",Current,,,,,,,In-region (Fugro Perth-managed),Fugro's MAIN NW-region operating vessel at present (flagged by Troy). Bahamas-flag MPSV; specific current campaign not publicly disclosed — confirm client/scope via Fugro/NOPSEMA.,VesselFinder / MarineTraffic IMO 9379686
Fugro,Blue Essence USV fleet + eROV (incl. 'Fugro Maali'),NWS trunkline inspection (Woodside); Scarborough 433 km trunkline survey (for Saipem/Woodside),Uncrewed surface vessel (USV) + electric ROV,Remote pipeline/trunkline inspection & pipelay survey,Recent / Current,,,,,,,Australia-based (Perth-controlled),Australia's first fully-remote USV inspection (NWS 2021); Scarborough survey publicised 2025.,fugro.com case studies
Fugro,Fugro Equator,Greater Sunrise (Woodside) + Bayu-Undan CCS (Santos) pipeline surveys,Geophysical / AUV survey vessel,Deepwater site & pipeline-route survey,Likely / upcoming (2026),,,,,,,Transient (Fremantle mob.),"Mobilising Q2 2026, offshore Q4 2026 (~3 months), Timor Sea. Data processed at Fugro Perth.",offshore-mag.com 2026
