#,Area,Item,"Colleague's matrix says (Sep 2026, whiteboard)",Our OA universe says,Verdict,Action taken / recommended,Basis,"Decision / status (Troy, 22 Sep 2026)"
1,Facility,Stag CPF,Jadestone; shut following cyclone damage; restart targeted 2027,"Jadestone; shut-in since Mar 2026 (Cyclone Narelle, CALM buoy); restart targeted Q2 2027",Consistent,—,Both,
2,Facility,Montara Venture FPSO / WHP,Jadestone; Timor Sea ~630 km offshore,Jadestone; Montara/Skua/Swift/Swallow; Operating,Consistent,—,Both,
3,Facility,Prelude FLNG,Shell; Browse Basin,Shell; Operating (unreliable; Turnaround 2026),Consistent,—,Both,
4,Facility,Crux Platform,Shell; NNM; connected to Prelude; commissioning/start-up 2026-27,Shell; under construction (jacket early 2026); first gas 2027,Consistent,—,Both,
5,Facility,Wheatstone Offshore Platform,"Chevron; handles Wheatstone, Iago, Julimar & Brunello","Chevron; Wheatstone/Iago + receives Julimar-Brunello (Woodside-operated subsea, transferring to Chevron)",Consistent,—,Both,
6,Facility,Gorgon / Jansz-Io + Barrow Island,One combined row: subsea system + Barrow Island Gas Facility,Two places: 'Gorgon / Jansz-Io subsea' (Key Assets) + Gorgon Barrow (onshore tab); plus Jansz-Io Compression (under construction) which colleague omits,Scope / granularity,No change; note colleague omits Jansz-Io Compression (Saipem/MEA/Baker Hughes live in 2026),Both,
7,Facility,Ichthys Explorer CPF / Ichthys Venturer FPSO,INPEX; Browse Basin,Inpex; Operating (OA industrial action mid-2026),Consistent,—,Both,
8,Facility,North Rankin Complex / Goodwyn A / Angel / Pluto A,Woodside,Woodside; Operating (Angel & Pluto A are NUIs),Consistent,—,Both,
9,Facility,Ngujima-Yin FPSO,Woodside; ~43 km N of NW Cape,Woodside; Vincent + Greater Enfield; Operating,Consistent,—,Both,
10,Facility,Okha FPSO / CWLH,Woodside; ~119-135 km NW of Dampier,Woodside; temp. offline mid-2026 (riser repair; restart ~Q3 2026); Jadestone 33% non-op,Consistent,Colleague omits the 2026 offline period — worth adding to their matrix,Both,
